T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
1,8938,0.113,0.095,1.114269997E-08,0.000000461
1.5,8938,0.161,0.18,2.258980622E-08,0.000000461
2,8938,0.211,0.285,3.447299478E-08,0.000000461
2.5,8938,0.264,0.409,4.678898602E-08,0.000000461
3,8938,0.321,0.55,5.953450914E-08,0.000000461
3.5,8938,0.381,0.707,7.270630212E-08,0.000000461
4,8938,0.446,0.878,8.630111178E-08,0.000000461
4.5,8938,0.516,1.06,0.0000001003156937,0.000000461
5,8938,0.592,1.24,0.0000001147468124,0.000000461
5.5,8938,0.673,1.43,0.000000129591241,0.000000461
6,8938,0.761,1.64,0.0000001448457616,0.000000461
6.5,8938,0.855,1.85,0.000000160507165,0.000000461
7,8938,0.957,2.06,0.000000176572251,0.000000461
7.5,8938,1.07,2.29,0.0000001930378279,0.000000461
8,8938,1.18,2.52,0.0000002099007131,0.000000461
8.5,8938,1.31,2.76,0.0000002271577326,0.000000461
9,8938,1.44,3,0.0000002448057214,0.000000461
9.5,8938,1.62,3.26,0.0000002628415231,0.000000461
10,8938,1.74,3.5,0.0000002812619903,0.000000461
10.5,8938,1.86,3.75,0.0000003000639844,0.000000461
11,8938,2,4,0.0000003192443753,0.000000461
11.5,8938,2.14,4.25,0.0000003388000422,0.000000461
12,8938,2.3,4.51,0.0000003587278727,0.000000461
12.5,8938,2.47,4.76,0.0000003790247635,0.000000461
13,8938,2.65,5.02,0.0000003996876198,0.000000461
13.5,8938,2.85,5.28,0.0000004207133559,0.000000461
14,8938,3.07,5.55,0.0000004420988948,0.000000461
14.5,8938,3.3,5.81,0.0000004638411683,0.000000461
15,8938,3.55,6.07,0.000000485937117,0.000000461
15.5,8938,3.83,6.34,0.0000005083836903,0.000000461
16,8938,4.12,6.6,0.0000005311778465,0.000000461
16.5,8938,4.44,6.87,0.0000005543165526,0.000000461
17,8938,4.78,7.13,0.0000005777967844,0.000000461
17.5,8938,5.15,7.4,0.0000006016155267,0.000000461
18,8938,5.55,7.66,0.0000006257697728,0.000000461
18.5,8938,5.97,7.92,0.0000006502565251,0.000000461
19,8938,6.43,8.18,0.0000006750727947,0.000000461
19.5,8938,6.82,8.45,0.0000007002156014,0.000000461
20,8938,7.44,8.7,0.000000725681974,0.000000461
20.5,8938,8.08,8.94,0.00000075146895,0.000000461
21,8938,8.76,9.19,0.0000007775735757,0.000000461
21.5,8938,9.47,9.42,0.0000008039929063,0.000000461
22,8938,10.2,9.66,0.0000008307240057,0.000000461
22.5,8938,11,9.89,0.0000008577639467,0.000000461
23,8938,11.8,10.1,0.0000008851098107,0.000000461
23.5,8938,12.7,10.4,0.0000009127586883,0.000000461
24,8938,13.5,10.6,0.0000009407076786,0.000000461
24.5,8938,14.5,10.8,0.0000009689538896,0.000000461
25,8938,15.4,11,0.0000009974944381,0.000000461
25.5,8938,16.4,11.2,0.00000102632645,0.000000461
26,8938,17.4,11.4,0.000001055447059,0.000000461
26.5,8938,18.4,11.7,0.000001084853409,0.000000461
27,8938,19.5,11.9,0.000001114542652,0.000000461
27.5,8938,20.6,12.1,0.000001144511948,0.000000461
28,8938,21.8,12.3,0.000001174758468,0.000000461
28.5,8938,23,12.4,0.000001205279389,0.000000461
29,8938,24.2,12.6,0.0000012360719,0.000000461
29.5,8938,25.3,12.8,0.000001267133196,0.000000461
30,8938,26.7,13,0.000001298460481,0.000000461
30.5,8938,28.1,13.2,0.000001330050971,0.000000461
31,8938,29.5,13.3,0.000001361901887,0.000000461
31.5,8938,30.9,13.4,0.000001394010461,0.000000461
32,8938,32.4,13.6,0.000001426373932,0.000000461
32.5,8938,33.9,13.7,0.00000145898955,0.000000461
33,8938,35.4,13.9,0.000001491854573,0.000000461
33.5,8938,37,14,0.000001524966266,0.000000461
34,8938,38.6,14.1,0.000001558321906,0.000000461
34.5,8938,40.2,14.2,0.000001591918777,0.000000461
35,8938,41.8,14.4,0.000001625754171,0.000000461
35.5,8938,43.4,14.5,0.000001659825391,0.000000461
36,8938,45.1,14.6,0.000001694129747,0.000000461
36.5,8938,46.8,14.7,0.000001728664558,0.000000461
37,8938,48.5,14.8,0.000001763427153,0.000000461
