T/K,rho/(kg/m3),cp/(J/(kg.K)),K/(W/(m.K)),alpha_thermal/(1/K),resistivity/(ohm.m)
8,19224,1.18,252,0.000000696047896,2.03E-10
8.5,19224,1.4,269,0.0000008084187494,2.03E-10
9,19224,1.65,287,0.0000009199747523,2.04E-10
9.5,19224,1.86,309,0.000001030720083,2.04E-10
10,19224,2.23,321,0.000001140658908,2.04E-10
10.5,19224,2.64,332,0.000001249795386,2.04E-10
11,19224,3.08,343,0.000001358133661,2.03E-10
11.5,19224,3.56,353,0.00000146567787,2.03E-10
12,19224,4.07,362,0.000001572432136,2.03E-10
12.5,19224,4.61,371,0.000001678400573,2.03E-10
13,19224,5.18,378,0.000001783587285,2.04E-10
13.5,19224,5.77,386,0.000001887996364,2.04E-10
14,19224,6.4,392,0.00000199163189,2.05E-10
14.5,19224,7.06,398,0.000002094497935,2.06E-10
15,19224,7.74,403,0.000002196598559,2.07E-10
15.5,19224,8.45,408,0.000002297937811,2.09E-10
16,19224,9.18,412,0.00000239851973,2.1E-10
16.5,19224,9.94,416,0.000002498348343,2.13E-10
17,19224,10.7,419,0.000002597427667,2.15E-10
17.5,19224,11.5,422,0.000002695761709,2.18E-10
18,19224,12.4,425,0.000002793354464,2.22E-10
18.5,19224,13.2,426,0.000002890209917,2.25E-10
19,19224,14.1,428,0.000002986332042,2.3E-10
19.5,19224,15,428,0.000003081724802,2.35E-10
20,19224,15.9,430,0.00000317639215,2.4E-10
20.5,19224,16.9,431,0.000003270338027,2.46E-10
21,19224,17.8,432,0.000003363566365,2.52E-10
21.5,19224,18.8,433,0.000003456081084,2.59E-10
22,19224,19.8,433,0.000003547886093,2.67E-10
22.5,19224,20.8,433,0.000003638985292,2.76E-10
23,19224,21.9,433,0.000003729382567,2.85E-10
23.5,19224,22.9,433,0.000003819081797,2.94E-10
24,19224,24,432,0.000003908086848,3.05E-10
24.5,19224,25,431,0.000003996401576,3.16E-10
25,19224,26.1,430,0.000004084029826,3.29E-10
25.5,19224,27.2,429,0.000004170975432,3.41E-10
26,19224,28.3,427,0.000004257242218,3.55E-10
26.5,19224,29.4,425,0.000004342833997,3.7E-10
27,19224,30.5,424,0.00000442775457,3.86E-10
27.5,19224,31.6,422,0.000004512007729,4.02E-10
28,19224,32.7,420,0.000004595597255,4.2E-10
28.5,19224,33.8,417,0.000004678526917,4.38E-10
29,19224,34.9,415,0.000004760800475,4.58E-10
29.5,19224,36,412,0.000004842421676,4.78E-10
30,19224,37.1,410,0.000004923394258,5E-10
30.5,19224,38.2,408,0.000005003721949,5.23E-10
31,19224,39.2,406,0.000005083408465,5.48E-10
31.5,19224,40.3,403,0.000005162457509,5.73E-10
32,19224,41.3,401,0.000005240872778,6E-10
32.5,19224,42.4,398,0.000005318657955,6.28E-10
